"15 0"
"18 100"
"15 200"
"18 301"
"17 401"
"19 501"
"15 602"
"16 702"
"16 802"
"37 903"
"32 1004"
"30 1104"
"23 1205"
"21 1305"
"15 1405"
"18 1506"
"33 1606"
"37 1707"
"35 1807"
"33 1908"
"28 2009"
"22 2109"
"16 2209"
"14 2310"
"15 2410"
"22 2510"
"26 2611"
"35 2712"
"42 2812"
"31 2913"
"25 3013"
"26 3113"
"24 3214"
"27 3314"
"22 3415"
"18 3516"
"15 3616"
"15 3717"
"20 3817"
"18 3917"
"24 4018"
"21 4118"
"18 4218"
"14 4319"
"13 4420"
"14 4520"
"15 4621"
"23 4721"
"23 4822"
"30 4922"
"39 5022"
"36 5123"
"20 5224"
"17 5324"
"16 5425"
"23 5525"
"24 5625"
"24 5726"
"30 5826"
"31 5926"
"22 6028"
"17 6128"
"15 6228"
"13 6329"
"13 6429"
"14 6530"
"18 6630"
"17 6730"
"19 6831"
"19 6932"
"16 7032"
"18 7133"
"19 7233"
"19 7333"
"17 7434"
"19 7534"
"21 7634"
"18 7736"
"17 7836"
"14 7937"
"20 8037"
"16 8137"
"14 8238"
"13 8338"
"24 8438"
"17 8540"
"21 8640"
"19 8740"
"18 8841"
"24 8941"
"18 9041"
"21 9142"
"21 9242"
"26 9342"
"36 9444"
"44 9544"
"39 9645"
"23 9745"
"21 9845"
"28 9946"
"24 10046"
"20 10146"
"16 10248"
"15 10348"
"14 10448"
"16 10549"
"15 10649"
"17 10749"
"18 10851"
"23 10951"
"35 11052"
"44 11152"
"54 11252"
"68 11353"
"64 11454"
"61 11554"
"55 11655"
"54 11755"
"44 11855"
"32 11956"
"24 12057"
"19 12157"
"18 12258"
"20 12358"
"19 12459"
"18 12559"
"19 12660"
"41 12761"
"27 12861"
"22 12961"
"18 13062"
"18 13162"
"112 13263"
"241 13364"
"164 13464"
"176 13564"
"120 13665"
"109 13766"
"137 13867"
"135 13967"
"271 14067"
"355 14169"
"398 14269"
"451 14369"
"403 14470"
"500 14570"
"534 14671"
"579 14772"
"667 14872"
"684 14972"
"822 15073"
"862 15174"
"909 15275"
"953 15375"
"982 15475"
"941 15576"
"871 15677"
"703 15777"
"530 15878"
"460 15978"
"374 16078"
"358 16180"
"415 16280"
"301 16380"
"485 16481"
"550 16582"
"653 16683"
"755 16783"
"660 16883"
"810 16984"
"838 17085"
"846 17185"
"698 17286"
"636 17386"
"759 17486"
"691 17588"
"573 17688"
"484 17788"
"444 17889"
"319 17989"
"346 18091"
"288 18191"
"243 18291"
"256 18392"
"238 18492"
"260 18593"
"230 18694"
"252 18794"
"288 18894"
"320 18996"
"309 19096"
"310 19196"
"325 19297"
"398 19397"
"323 19499"
"289 19599"
"354 19699"
"370 19800"
"346 19900"
"326 20001"
"402 20102"
"363 20202"
"379 20302"
"307 20403"
"313 20504"
"251 20604"
"284 20705"
"283 20805"
"479 20905"
"511 21007"
"364 21107"
"184 21208"
"118 21308"
"73 21408"
"65 21510"
"74 21610"
"79 21710"
"76 21811"
"66 21911"
"56 22011"
"42 22113"
"30 22213"
"19 22313"
"17 22414"
"15 22514"
"17 22615"
"24 22716"
"69 22816"
"145 22917"
"134 23017"
"122 23117"
"130 23219"
"114 23319"
"115 23419"
"122 23520"
"105 23620"
"102 23721"
"75 23822"
"76 23922"
"69 24023"
"71 24123"
"69 24223"
"82 24325"
"79 24425"
"91 24525"
"104 24626"
"111 24726"
"106 24827"
"118 24928"
"110 25028"
"103 25128"
"109 25229"
"95 25330"
"89 25431"
"83 25531"
"87 25631"
"89 25732"
"81 25832"
"79 25933"
"83 26034"
"71 26134"
"81 26234"
"80 26335"
"85 26435"
"74 26536"
"74 26637"
"64 26737"
"53 26838"
"49 26938"
"59 27038"
"60 27140"
"63 27240"
"61 27340"
"56 27441"
"53 27541"
"66 27641"
"71 27743"
"85 27843"
"94 27943"
"91 28044"
"91 28144"
"94 28244"
"98 28345"
"107 28446"
"113 28547"
"110 28647"
"117 28747"
"118 28849"
"115 28949"
"109 29049"
"106 29150"
"100 29250"
"93 29351"
"87 29452"
"81 29552"
"93 29652"
"153 29753"
"249 29853"
"362 29955"
"438 30055"
"476 30155"
"485 30256"
"488 30356"
"476 30457"
"461 30558"
"452 30658"
"456 30758"
"457 30860"
"450 30960"
"446 31060"
"434 31161"
"420 31261"
"400 31363"
"380 31463"
"351 31563"
"326 31664"
"296 31764"
"273 31865"
"247 31966"
"223 32066"
"205 32166"
"190 32267"
"175 32368"
"169 32468"
"153 32569"
"121 32669"
"127 32770"
"159 32871"
"166 32971"
"150 33072"
"124 33172"
"99 33272"
"73 33374"
"56 33474"
"37 33574"
"24 33675"
"20 33775"
"19 33875"
"22 33977"
"24 34077"
